npi,nppes_provider_last_org_name,nppes_provider_first_name,nppes_provider_mi,nppes_credentials,nppes_provider_gender,nppes_entity_code,nppes_provider_street1,nppes_provider_street2,nppes_provider_city,nppes_provider_zip,nppes_provider_state,nppes_provider_country,provider_type,medicare_participation_indicator,place_of_service,hcpcs_code,hcpcs_description,hcpcs_drug_indicator,line_srvc_cnt,bene_unique_cnt,bene_day_srvc_cnt,average_medicare_allowed_amt,average_submitted_chrg_amt,average_medicare_payment_amt,average_medicare_standard_amt
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,208,132,208,92.17,171.9230769,61.58985577,61.40322115
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,32,29,32,124.19,231.03125,87.3846875,89.5734375
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,G0402,"Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment",N,15,15,15,142.76,257,139.9,139.58
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,G0438,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit",N,40,40,40,147.07,292,140.52675,143.76
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",N,40,40,40,99.86,183,97.86,97.53
1003838806,PENMAN,EMILY,,"M.D,",F,I,4701 OGLETOWN STANTON RD,SUITE 1500,NEWARK,197132055,DE,US,General Surgery,Y,F,99204,"New patient office or other outpatient visit, typically 45 minutes",N,13,13,13,134.23,297,105.23,103.02
1003838806,PENMAN,EMILY,,"M.D,",F,I,4701 OGLETOWN STANTON RD,SUITE 1500,NEWARK,197132055,DE,US,General Surgery,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,99,94,99,52.63,102.3636364,41.01070707,40.43222222
1003838806,PENMAN,EMILY,,"M.D,",F,I,4701 OGLETOWN STANTON RD,SUITE 1500,NEWARK,197132055,DE,US,General Surgery,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,564,419,564,80.75,157.9698582,57.97223404,56.86847518
1003838806,PENMAN,EMILY,,"M.D,",F,I,4701 OGLETOWN STANTON RD,SUITE 1500,NEWARK,197132055,DE,US,General Surgery,Y,F,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,150,149,150,114.39,349.1733333,88.6774,86.85973333
1003842337,SCHRANDT,NEIL,J,M.D.,M,I,620 STANTON CHRISTIANA RD,STE.302,NEWARK,197132133,DE,US,Neurology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,91,91,91,170.04,252.5274725,123.3293407,120.2594506
1003842337,SCHRANDT,NEIL,J,M.D.,M,I,620 STANTON CHRISTIANA RD,STE.302,NEWARK,197132133,DE,US,Neurology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,22,18,22,75.04454546,94.45454546,50.76818182,49.58863636
1003842337,SCHRANDT,NEIL,J,M.D.,M,I,620 STANTON CHRISTIANA RD,STE.302,NEWARK,197132133,DE,US,Neurology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,327,185,327,110.65,150.9296636,74.42510703,72.66207951
1003842337,SCHRANDT,NEIL,J,M.D.,M,I,620 STANTON CHRISTIANA RD,STE.302,NEWARK,197132133,DE,US,Neurology,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,17,17,17,149.08,211,95.62235294,93.30176471
1003842436,CAGAMPAN,LYNDON,B,M.D.,M,I,200 BANNING ST,STE 350,DOVER,199043485,DE,US,Physical Medicine and Rehabilitation,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,12,12,12,111.53,277,87.44,85.33
1003842436,CAGAMPAN,LYNDON,B,M.D.,M,I,200 BANNING ST,STE 350,DOVER,199043485,DE,US,Physical Medicine and Rehabilitation,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,20,20,20,75.14,154,58.91,57.54
1003842436,CAGAMPAN,LYNDON,B,M.D.,M,I,200 BANNING ST,STE 350,DOVER,199043485,DE,US,Physical Medicine and Rehabilitation,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,829,152,829,110.65,231,77.41376357,77.87977081
1003846163,RAM,RANGA,N,,M,I,500 W 10TH ST,CONNECTIONS CSP INC,WILMINGTON,198011422,DE,US,Psychiatry,Y,O,99205,"New patient office or other outpatient visit, typically 60 minutes",N,24,24,24,204.78,350,142.5558333,148.29375
1003846163,RAM,RANGA,N,,M,I,500 W 10TH ST,CONNECTIONS CSP INC,WILMINGTON,198011422,DE,US,Psychiatry,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,421,159,421,106.27,195.0118765,71.72441805,74.68187649
1003846163,RAM,RANGA,N,,M,I,500 W 10TH ST,CONNECTIONS CSP INC,WILMINGTON,198011422,DE,US,Psychiatry,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,96,64,96,143.18,248.9583333,109.5219792,113.7522917
1003848474,GEIMEIER,WILLIAM,J,M.D.,M,I,179 W CHESTNUT HILL RD,SUITE 1,NEWARK,197132210,DE,US,Allergy/ Immunology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,14,14,14,44.78,69,31.71285714,30.91428571
1003848474,GEIMEIER,WILLIAM,J,M.D.,M,I,179 W CHESTNUT HILL RD,SUITE 1,NEWARK,197132210,DE,US,Allergy/ Immunology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,67,52,67,75.14,94,51.52268657,50.25567164
1003848474,GEIMEIER,WILLIAM,J,M.D.,M,I,179 W CHESTNUT HILL RD,SUITE 1,NEWARK,197132210,DE,US,Allergy/ Immunology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,52,40,52,110.65,146,75.84423077,78.79269231
1003851718,MEDFORD,WILLIAM,L,MD,M,I,2300 PENNSYLVANIA AVE,SUITE 2A,WILMINGTON,198061392,DE,US,Otolaryngology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,179,179,179,111.53,145,79.76374302,77.74871508
1003851718,MEDFORD,WILLIAM,L,MD,M,I,2300 PENNSYLVANIA AVE,SUITE 2A,WILMINGTON,198061392,DE,US,Otolaryngology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,46,46,46,170.04,254,125.1628261,124.8473913
1003851718,MEDFORD,WILLIAM,L,MD,M,I,2300 PENNSYLVANIA AVE,SUITE 2A,WILMINGTON,198061392,DE,US,Otolaryngology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,26,22,26,44.78,67,35.1,34.24
1003851718,MEDFORD,WILLIAM,L,MD,M,I,2300 PENNSYLVANIA AVE,SUITE 2A,WILMINGTON,198061392,DE,US,Otolaryngology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,264,218,264,75.14,112,53.60075758,52.32977273
1003851718,MEDFORD,WILLIAM,L,MD,M,I,2300 PENNSYLVANIA AVE,SUITE 2A,WILMINGTON,198061392,DE,US,Otolaryngology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,429,283,429,110.65,165,78.87944056,79.20237762
1003873415,BARRIOCANAL,JOSE,L,M.D.,M,I,220 PENNSYLVANIA AVE,,SEAFORD,199733820,DE,US,Urology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,92,92,92,107.11,200,77.91021739,79.27586957
1003873415,BARRIOCANAL,JOSE,L,M.D.,M,I,220 PENNSYLVANIA AVE,,SEAFORD,199733820,DE,US,Urology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,11,11,11,163.31,240,128.04,130.25
1003873415,BARRIOCANAL,JOSE,L,M.D.,M,I,220 PENNSYLVANIA AVE,,SEAFORD,199733820,DE,US,Urology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,797,521,797,72.17,140,50.69700126,51.66841907
1003873415,BARRIOCANAL,JOSE,L,M.D.,M,I,220 PENNSYLVANIA AVE,,SEAFORD,199733820,DE,US,Urology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,27,26,27,106.27,200,83.32,84.78
1003877580,KIM,NANCY,,MD,F,I,4735 OGLETOWN-STANTON RD,SUITE 3302,NEWARK,19713,DE,US,Physical Medicine and Rehabilitation,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,111,111,111,109.3,168.9369369,82.45954955,84.39288288
1003877580,KIM,NANCY,,MD,F,I,4735 OGLETOWN-STANTON RD,SUITE 3302,NEWARK,19713,DE,US,Physical Medicine and Rehabilitation,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,168,168,168,166.64,253.5952381,116.16875,120.8835119
1003877580,KIM,NANCY,,MD,F,I,4735 OGLETOWN-STANTON RD,SUITE 3302,NEWARK,19713,DE,US,Physical Medicine and Rehabilitation,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,56,56,56,43.88,132,33.10803571,33.62857143
1003877580,KIM,NANCY,,MD,F,I,4735 OGLETOWN-STANTON RD,SUITE 3302,NEWARK,19713,DE,US,Physical Medicine and Rehabilitation,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,636,414,636,73.64,160,51.06055031,52.44853774
1003877580,KIM,NANCY,,MD,F,I,4735 OGLETOWN-STANTON RD,SUITE 3302,NEWARK,19713,DE,US,Physical Medicine and Rehabilitation,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,490,332,490,108.44,260.0408163,79.87020408,82.43267347
1003881194,SMITH,KAREN,M,NP,F,I,4765 OGLETOWN STANTON RD,SUITE 1E20,NEWARK,197138003,DE,US,Nurse Practitioner,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,102,102,102,94.8,209,70.12441177,69.15862745
1003881194,SMITH,KAREN,M,NP,F,I,4765 OGLETOWN STANTON RD,SUITE 1E20,NEWARK,197138003,DE,US,Nurse Practitioner,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,31,27,31,38.06,84,29.84,29.11
1003881194,SMITH,KAREN,M,NP,F,I,4765 OGLETOWN STANTON RD,SUITE 1E20,NEWARK,197138003,DE,US,Nurse Practitioner,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,85,56,85,63.87,136,49.64741177,48.48741177
1003892423,DRIBAN,DAVID,E,MD,M,I,239 CHRISTIANA RD,,NEW CASTLE,197202907,DE,US,Family Practice,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,13,13,13,84.36,150.7692308,51.29846154,50.13846154
1003892423,DRIBAN,DAVID,E,MD,M,I,239 CHRISTIANA RD,,NEW CASTLE,197202907,DE,US,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,143,125,143,52.78741259,92.6993007,32.11342657,32.09342657
1003892423,DRIBAN,DAVID,E,MD,M,I,239 CHRISTIANA RD,,NEW CASTLE,197202907,DE,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,539,322,539,80.8054731,147.6029685,50.90833024,50.65135436
1003892423,DRIBAN,DAVID,E,MD,M,I,239 CHRISTIANA RD,,NEW CASTLE,197202907,DE,US,Family Practice,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,33,29,33,114.39,276,79.19878788,77.53515152
1003897216,BONILLA,CRISTINA,,PA-C,F,I,1200 NORTH DUPONT HIGHWAY,STUDENT HEALTH SERVICES,DOVER,19901,DE,US,Physician Assistant,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,20,20,20,94.8,226.65,66.888,65.286
1003897216,BONILLA,CRISTINA,,PA-C,F,I,1200 NORTH DUPONT HIGHWAY,STUDENT HEALTH SERVICES,DOVER,19901,DE,US,Physician Assistant,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,40,37,40,38.06,89.15,22.38,21.8325
1003897216,BONILLA,CRISTINA,,PA-C,F,I,1200 NORTH DUPONT HIGHWAY,STUDENT HEALTH SERVICES,DOVER,19901,DE,US,Physician Assistant,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,186,124,186,63.87,152.8709677,46.49806452,45.94634409
1003897216,BONILLA,CRISTINA,,PA-C,F,I,1200 NORTH DUPONT HIGHWAY,STUDENT HEALTH SERVICES,DOVER,19901,DE,US,Physician Assistant,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,18,15,18,94.05,225.4444444,69.64333333,68.05666667
1003924937,FRENCH,ALBERT,H,MD FACOG,M,I,306 POLK AVE,,MILFORD,19963,DE,US,Obstetrics & Gynecology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,81,41,81,72.17,148.5925926,54.08888889,55.04827161
1003924937,FRENCH,ALBERT,H,MD FACOG,M,I,306 POLK AVE,,MILFORD,19963,DE,US,Obstetrics & Gynecology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,59,56,59,106.27,188.4576271,80.41949153,81.88542373
1003924937,FRENCH,ALBERT,H,MD FACOG,M,I,306 POLK AVE,,MILFORD,19963,DE,US,Obstetrics & Gynecology,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,21,21,21,143.18,243,83.6552381,85.74095238
1003944406,BLEY,BRADLEY,,D.O.,M,I,1096 OLD CHURCHMANS RD,,NEWARK,197132102,DE,US,Sports Medicine,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,111,111,111,109.3,549.3333333,78.27558559,79.52576577
1003944406,BLEY,BRADLEY,,D.O.,M,I,1096 OLD CHURCHMANS RD,,NEWARK,197132102,DE,US,Sports Medicine,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,379,230,379,43.88,221.469657,29.93846966,31.19931398
1003944406,BLEY,BRADLEY,,D.O.,M,I,1096 OLD CHURCHMANS RD,,NEWARK,197132102,DE,US,Sports Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,331,221,331,73.64,369.1208459,52.69006042,54.13851964
1003944406,BLEY,BRADLEY,,D.O.,M,I,1096 OLD CHURCHMANS RD,,NEWARK,197132102,DE,US,Sports Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,42,39,42,108.44,535.5476191,67.95333333,70.7102381
1003959974,NAINI,PRANITHA,,MD,F,I,21 W CLARKE AVE,,MILFORD,199631840,DE,US,Hematology-Oncology,Y,F,99204,"New patient office or other outpatient visit, typically 45 minutes",N,114,114,114,134.23,543.9385965,102.1444737,101.9153509
1003959974,NAINI,PRANITHA,,MD,F,I,21 W CLARKE AVE,,MILFORD,199631840,DE,US,Hematology-Oncology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,118,101,118,52.63,238.4067797,39.94008475,39.11177966
1003959974,NAINI,PRANITHA,,MD,F,I,21 W CLARKE AVE,,MILFORD,199631840,DE,US,Hematology-Oncology,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,579,285,579,80.75,357.1606218,59.99431779,58.93120898
1003959974,NAINI,PRANITHA,,MD,F,I,21 W CLARKE AVE,,MILFORD,199631840,DE,US,Hematology-Oncology,Y,F,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,44,41,44,114.39,481.5,87.83727273,86.00772727
1013008390,BORK,LISA,K,APN,F,I,A.I. DUPONT HOSPITAL FOR CHILDREN,1600 ROCKLAND ROAD,WILMINGTON,198033607,DE,US,Nurse Practitioner,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,14,14,14,96.71,167,75.82,72.54
1013008390,BORK,LISA,K,APN,F,I,A.I. DUPONT HOSPITAL FOR CHILDREN,1600 ROCKLAND ROAD,WILMINGTON,198033607,DE,US,Nurse Practitioner,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,211,210,210,147.1721327,198.5687204,97.19900474,94.83682465
1013008390,BORK,LISA,K,APN,F,I,A.I. DUPONT HOSPITAL FOR CHILDREN,1600 ROCKLAND ROAD,WILMINGTON,198033607,DE,US,Nurse Practitioner,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,171,135,171,95.78578947,160,67.62233918,66.1202924
1013042431,PAPA,MICHELLE,E,DO,F,I,1100 S BROOM ST,,WILMINGTON,198054585,DE,US,Family Practice,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,51,50,51,111.53,166.8627451,79.98215686,79.6627451
1013042431,PAPA,MICHELLE,E,DO,F,I,1100 S BROOM ST,,WILMINGTON,198054585,DE,US,Family Practice,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,40,40,40,170.04,255,123.10175,120.032
1013042431,PAPA,MICHELLE,E,DO,F,I,1100 S BROOM ST,,WILMINGTON,198054585,DE,US,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,132,116,132,75.14,151.5454546,49.92628788,48.72295455
1013042431,PAPA,MICHELLE,E,DO,F,I,1100 S BROOM ST,,WILMINGTON,198054585,DE,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,626,411,626,110.65,205.0623003,70.77953674,69.37353035
1013042431,PAPA,MICHELLE,E,DO,F,I,1100 S BROOM ST,,WILMINGTON,198054585,DE,US,Family Practice,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,12,12,12,149.08,244.1666667,93.77583333,91.58416667
1013042431,PAPA,MICHELLE,E,DO,F,I,1100 S BROOM ST,,WILMINGTON,198054585,DE,US,Family Practice,Y,O,G0402,"Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment",N,12,12,12,171.38,180,167.95,164.21
1013042431,PAPA,MICHELLE,E,DO,F,I,1100 S BROOM ST,,WILMINGTON,198054585,DE,US,Family Practice,Y,O,G0438,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit",N,14,14,14,176.55,254,173.02,169.13
1013042431,PAPA,MICHELLE,E,DO,F,I,1100 S BROOM ST,,WILMINGTON,198054585,DE,US,Family Practice,Y,O,G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",N,180,180,180,119.88,171.1,117.3393889,114.74
1013086560,MOOSAVY,AZITA,R,M.D,F,I,266 S COLLEGE AVE,,NEWARK,197115235,DE,US,Internal Medicine,Y,F,99217,Hospital observation care discharge,N,39,38,39,74.97,178.1538462,57.27282051,56.06461539
1013087725,POGACH,RONALD,S,O.D.,M,I,5503 KIRKWOOD HWY,,WILMINGTON,198085001,DE,US,Optometry,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,13,11,13,99.42461539,121.9230769,65.96153846,73.15461539
1013095587,ZARRAGA,ANTONIO,L,MD,M,I,219 S WALNUT ST,,MILFORD,199631957,DE,US,Infectious Disease,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,11,11,11,111.53,115,75.36545455,73.25636364
1013095587,ZARRAGA,ANTONIO,L,MD,M,I,219 S WALNUT ST,,MILFORD,199631957,DE,US,Infectious Disease,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,28,28,28,165,165,115.9639286,116.8607143
1013095587,ZARRAGA,ANTONIO,L,MD,M,I,219 S WALNUT ST,,MILFORD,199631957,DE,US,Infectious Disease,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,402,213,402,74.96054726,84.7960199,48.82412935,48.06706468
1013095587,ZARRAGA,ANTONIO,L,MD,M,I,219 S WALNUT ST,,MILFORD,199631957,DE,US,Infectious Disease,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,298,163,298,110.65,125,73.30087248,72.51204698
1013095587,ZARRAGA,ANTONIO,L,MD,M,I,219 S WALNUT ST,,MILFORD,199631957,DE,US,Infectious Disease,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,12,11,12,149.08,165,96.36583333,94.17333333
1013095587,ZARRAGA,ANTONIO,L,MD,M,I,219 S WALNUT ST,,MILFORD,199631957,DE,US,Infectious Disease,Y,O,G0402,"Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment",N,12,12,12,160,160,156.8,164.21
1013095587,ZARRAGA,ANTONIO,L,MD,M,I,219 S WALNUT ST,,MILFORD,199631957,DE,US,Infectious Disease,Y,O,G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",N,151,151,151,119.88,130,117.48,114.74
1013190651,CHANDRA,AVINASH,,,M,I,86 OMEGA DR,"OMEGA PROFESSIONAL CENTER, BUILDING B-86",NEWARK,197132065,DE,US,Cardiovascular Disease (Cardiology),Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,37,37,37,79.42,181.3610811,60.58702703,59.26378378
1013190651,CHANDRA,AVINASH,,,M,I,86 OMEGA DR,"OMEGA PROFESSIONAL CENTER, BUILDING B-86",NEWARK,197132065,DE,US,Cardiovascular Disease (Cardiology),Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,276,178,276,52.63,111.3902899,36.7842029,36.02358696
1013190651,CHANDRA,AVINASH,,,M,I,86 OMEGA DR,"OMEGA PROFESSIONAL CENTER, BUILDING B-86",NEWARK,197132065,DE,US,Cardiovascular Disease (Cardiology),Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,184,129,184,80.75,172.0395109,59.65608696,58.72701087
1013190651,CHANDRA,AVINASH,,,M,I,86 OMEGA DR,"OMEGA PROFESSIONAL CENTER, BUILDING B-86",NEWARK,197132065,DE,US,Cardiovascular Disease (Cardiology),Y,F,99219,Hospital observation care typically 50 minutes,N,38,38,38,139.58,328.9973684,99.6981579,97.60526316
1013203462,MOGHADAM,SARA,,M.D.,F,I,39394 DUPONT BLVD,,SELBYVILLE,191753040,DE,US,Dermatology,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,12,12,12,77.04,191,50.33333333,49.125
